iter,recovery_rate,latency_rate,susceptibility_0,susceptibility_5,susceptibility_25,susceptibility_50,susceptibility_65,relative_vaccineEfficacyVsInfection_0,relative_vaccineEfficacyVsInfection_0.5,relative_vaccineEfficacyVsInfection_16,relative_vaccineEfficacyVsInfection_65,vaccineEfficacyVsDeath_0,vaccineEfficacyVsDeath_20,vaccineEfficacyVsDeath_65,vaccineEfficacyVsHospitalization_0,vaccineEfficacyVsHospitalization_5,vaccineEfficacyVsHospitalization_16,vaccineEfficacyVsHospitalization_65,caseMortality_0,caseMortality_5,caseMortality_18,caseMortality_50,caseMortality_65,caseHospitalization_0,caseHospitalization_5,caseHospitalization_18,caseHospitalization_50,caseHospitalization_65,R0
236,0.424136321,0.573980944,0.988340787,0.971318278,0.603445899,0.987473223,0.49129245,0,0.640156038,0.513410345,0.592811251,0.480757577,0.584848834,0.382246277,0.486256453,0.616321224,0.55976048,0.530372796,0.000144562,3.65E-05,0.000710573,0.001210572,0.008247614,0.00761498,0.004543177,0.014322312,0.011968353,0.008247614,1.265
237,0.300833161,0.499602821,0.947511806,0.878436388,0.73163079,0.899902442,0.465441725,0,0.683620624,0.739090665,0.51697467,0.680912032,0.624618943,0.574683188,0.632961149,0.56045689,0.366292004,0.547663828,0.000229153,5.87E-05,0.000499095,0.000412063,0.02349195,0.014715783,0.001061417,0.005377168,0.022501367,0.02349195,1.265
238,0.515408227,0.782559848,0.903631694,0.705820142,0.773197098,0.681448446,0.909751927,0,0.660184327,0.747868767,0.530964437,0.575204668,0.41737648,0.581337112,0.569647796,0.570855971,0.38070444,0.556718029,8.88E-05,2.02E-05,0.000728933,0.001313365,0.031232666,0.016710668,0.001317135,0.011131895,0.02135992,0.031232666,1.265
239,0.3335509,0.498248818,0.93992242,0.955123891,0.779799768,0.560363658,0.70362694,0,0.48882036,0.72751657,0.534887789,0.540505307,0.582769964,0.491686985,0.614917962,0.380826926,0.557062878,0.514556657,5.28E-05,1.99E-05,0.000222044,0.000561845,0.033480632,0.013490494,0.001533882,0.012511193,0.018565114,0.033480632,1.265
240,0.344697133,0.490018856,0.912462328,0.987780066,0.984895292,0.931356656,0.543518515,0,0.594331437,0.734073133,0.549720572,0.663996178,0.658909888,0.578053154,0.576178201,0.487567528,0.431230013,0.456971007,3.64E-05,2.55E-05,0.00037654,0.00121928,0.020597026,0.013985476,0.003603737,0.013658479,0.024850085,0.020597026,1.265
241,0.40429253,0.57892926,0.935128558,0.74008385,0.731648809,0.654242977,0.821022548,0,0.734827854,0.740045291,0.476833024,0.74527017,0.616889107,0.494537724,0.686604092,0.549898672,0.373464809,0.467014683,5.31E-05,4.92E-05,0.000128318,0.001383637,0.024457437,0.01065091,0.001685937,0.027220246,0.016740864,0.024457437,1.265
242,0.280487392,0.438144216,0.951306372,0.788186367,0.661250468,0.902859498,0.941277524,0,0.637908628,0.736384271,0.509914256,0.464798204,0.491521531,0.583811213,0.497106513,0.4622618,0.323639181,0.52505313,8.78E-05,2.07E-05,0.00066128,0.000867671,0.027592447,0.020728345,0.001183023,0.017227513,0.01359604,0.027592447,1.265
243,0.579496979,0.460468434,0.92919075,0.789478774,0.670480318,0.715453579,0.454950276,0,0.768549287,0.787060401,0.45898525,0.520535932,0.440143511,0.647730474,0.606837474,0.561017958,0.529207541,0.480842669,4.46E-05,4.70E-05,0.000185819,0.000869235,0.031631776,0.00895744,0.00206644,0.006834519,0.018729753,0.031631776,1.265
244,0.570915497,0.488767347,0.920325088,0.899289775,0.702779638,0.631971211,0.634170257,0,0.763964427,0.563566939,0.541186333,0.52734908,0.555728949,0.562958774,0.49159833,0.456936578,0.532266884,0.508883406,0.000137234,4.73E-05,0.001011198,0.000929869,0.038612272,0.009811424,0.001232422,0.015844506,0.015069727,0.038612272,1.265
245,0.330051041,0.4692026,0.919676188,0.886516481,0.636637486,0.914860712,0.43202105,0,0.63549675,0.717451581,0.510593768,0.463882409,0.484279144,0.434578591,0.582322363,0.597496872,0.302128064,0.460641573,7.89E-05,2.11E-05,0.000456974,0.000747797,0.024302571,0.010428967,0.000696281,0.024749378,0.014050591,0.024302571,1.265
246,0.425655925,0.584726927,0.974873423,0.838773142,0.979622429,0.991073262,0.854784696,0,0.697488346,0.692572255,0.552585496,0.745185848,0.564964042,0.378974151,0.677875863,0.420679132,0.355323925,0.471315075,7.43E-05,6.09E-05,0.00127768,0.00071459,0.023900699,0.006358184,0.004079052,0.007611579,0.019118741,0.023900699,1.265
247,0.431045237,0.687995898,0.937847673,0.936784087,0.626763688,0.626737285,0.522077392,0,0.596881682,0.701426759,0.495505937,0.568458147,0.471154783,0.332394909,0.660131639,0.481500447,0.509401723,0.482452826,0.000119701,7.72E-05,0.00028875,0.001339991,0.012350284,0.020830562,0.003094228,0.004393375,0.018378102,0.012350284,1.265
248,0.332861143,0.695910665,0.966750892,0.782378177,0.656400696,0.597867401,0.471888391,0,0.636634451,0.675622591,0.561322698,0.45275182,0.493119829,0.553794008,0.586320629,0.51990886,0.324154075,0.517125986,7.26E-05,4.99E-05,0.000963863,0.000526027,0.013567003,0.016519776,0.004851807,0.012826358,0.023829393,0.013567003,1.265
249,0.416428459,0.614593021,0.970876362,0.756465028,0.96397235,0.909314504,0.845353842,0,0.952705627,0.761750742,0.417569861,0.60545107,0.679148532,0.362367442,0.589040689,0.455398259,0.345106359,0.518047687,3.74E-05,4.76E-05,0.000325558,0.001258086,0.019286502,0.007215587,0.001597221,0.006123479,0.025523191,0.019286502,1.265
250,0.301583276,0.425624491,0.94102418,0.712530215,0.795343283,0.66658417,0.328750033,0,0.472224936,0.738411758,0.466772133,0.578964675,0.681846715,0.358127835,0.507199033,0.536470446,0.386340103,0.515929194,0.000145534,5.86E-05,0.0003363,0.001339563,0.03937487,0.013790278,0.003003578,0.011931658,0.02032179,0.03937487,1.265
251,0.413306622,0.489201356,0.999425966,0.773487672,0.958239796,0.663111703,0.906104536,0,0.772595739,0.766303115,0.456560884,0.540465871,0.618462094,0.611182981,0.528404044,0.450406585,0.495517556,0.521578309,0.000107732,5.13E-05,0.001234923,0.001383257,0.016287551,0.017626007,0.003802235,0.008527602,0.010426523,0.016287551,1.265
252,0.403119483,0.77117656,0.910193174,0.791780802,0.872978542,0.854087183,0.888118861,0,0.635993011,0.680827298,0.51773969,0.566653792,0.436020413,0.423568413,0.62428986,0.589039555,0.39678802,0.435982479,0.000132075,4.67E-05,0.000177583,0.00111684,0.023620056,0.009035315,0.002266279,0.008732687,0.007929085,0.023620056,1.265
253,0.390078255,0.541305376,0.983196831,0.998718748,0.79081527,0.737098437,0.303390505,0,0.689953002,0.690435901,0.463567726,0.420617216,0.511053193,0.488926368,0.476021416,0.480198556,0.440049955,0.47420941,0.000185152,2.52E-05,0.001139433,0.001053349,0.005998454,0.017334903,0.002939151,0.016255995,0.02424646,0.005998454,1.265
254,0.521946505,0.417754147,0.954210781,0.751188606,0.795249891,0.760139371,0.73392118,0,0.929697267,0.680322608,0.546339021,0.741922064,0.578641549,0.605993966,0.577089286,0.439784458,0.428781509,0.446160999,0.000105701,3.81E-05,0.001182313,0.00072399,0.020440675,0.017883129,0.005150736,0.019334463,0.0122207,0.020440675,1.265
255,0.364991007,0.527147751,0.932342603,0.799459212,0.926162947,0.558641444,0.801327145,0,0.484332201,0.647123695,0.540876915,0.547666515,0.56048669,0.341333416,0.613652678,0.567757741,0.379868674,0.567372461,0.000162524,2.95E-05,0.000175623,0.00061466,0.019559727,0.016942713,0.002355571,0.014675888,0.022672268,0.019559727,1.265
256,0.303814906,0.496744837,0.946509999,0.899990733,0.657619771,0.637892562,0.686968217,0,0.465013186,0.652612658,0.535754596,0.669165364,0.616055186,0.30921758,0.553731133,0.527528143,0.450566717,0.507802597,0.000122039,6.63E-05,0.001052501,0.001384354,0.018422121,0.013585611,0.00431214,0.016678076,0.012704257,0.018422121,1.265
257,0.336973463,0.479388683,0.904362836,0.730314606,0.620644406,0.777833142,0.839935538,0,0.685402497,0.778747425,0.555570016,0.523905475,0.495227816,0.399910242,0.673660168,0.519186951,0.405255527,0.455777432,7.46E-05,6.61E-05,0.001152007,0.000328848,0.016170569,0.011571315,0.005384731,0.027867755,0.0156239,0.016170569,1.265
258,0.372733241,0.541959269,0.951234981,0.902650277,0.760343908,0.595706804,0.48101365,0,0.700694844,0.642454338,0.496422685,0.55226377,0.569494389,0.44327359,0.495670179,0.542393696,0.44750231,0.517710806,6.91E-05,2.60E-05,0.000514572,0.000805587,0.013075141,0.01577022,0.001084531,0.012236537,0.00985228,0.013075141,1.265
259,0.296220633,0.580662968,0.912104899,0.842757591,0.935342458,0.99994674,0.621229982,0,0.838306252,0.543304829,0.514870875,0.742852719,0.644249157,0.363094106,0.640720143,0.53979418,0.30000272,0.439560704,6.51E-05,4.93E-05,0.001010403,0.00068194,0.009471966,0.014156799,0.001011584,0.003940946,0.024399978,0.009471966,1.265
260,0.361557196,0.601095185,0.97641418,0.921238273,0.913486169,0.813996698,0.303606407,0,0.943419435,0.697986285,0.431322095,0.524936319,0.513007836,0.514935651,0.494457568,0.39100836,0.439683466,0.540586315,6.08E-05,7.05E-05,0.0003072,0.000693804,0.018450718,0.011878606,0.001857863,0.008697269,0.015330264,0.018450718,1.265
261,0.411779119,0.545037795,0.991963972,0.956884437,0.767383974,0.620983487,0.301972128,0,0.545393118,0.760029442,0.547785534,0.508351782,0.522168946,0.438545862,0.555249083,0.651102181,0.345630722,0.464083344,5.79E-05,2.32E-05,0.000563627,0.00033209,0.00693246,0.014333071,0.003296472,0.014786845,0.019920973,0.00693246,1.265
262,0.336557664,0.442433165,0.96787913,0.944465404,0.845696182,0.954482251,0.828948871,0,0.754693217,0.760308017,0.483448042,0.532079015,0.555260512,0.389856601,0.592678437,0.544049607,0.457715013,0.39799353,8.08E-05,3.93E-05,0.000507783,0.001427865,0.037914166,0.020344205,0.003874781,0.008336305,0.006397851,0.037914166,1.265
263,0.401292585,0.448326284,0.907462872,0.76192518,0.676878919,0.712955838,0.678362399,0,0.649352316,0.677607098,0.580767967,0.67342998,0.459919658,0.309423545,0.505298166,0.481527562,0.452993022,0.51891597,8.31E-05,4.56E-05,0.000848629,0.001227379,0.01155484,0.008579181,0.004658584,0.02154064,0.018612961,0.01155484,1.265
264,0.299329404,0.643263283,0.968094288,0.841193626,0.700124985,0.624797658,0.811396964,0,0.722593805,0.828790973,0.588140259,0.600789596,0.596246064,0.615139564,0.629276725,0.530902008,0.425785911,0.454560617,0.000180933,1.69E-05,0.000365675,0.000495067,0.013033484,0.012737385,0.001764747,0.004590302,0.020273185,0.013033484,1.265
265,0.237503966,0.623338268,0.921516963,0.838313206,0.618882828,0.862578232,0.436944492,0,0.7575639,0.645304002,0.433730983,0.676742067,0.411224915,0.310640081,0.614541481,0.481990395,0.32762996,0.581907415,0.000132213,7.09E-05,0.000819978,0.001264257,0.029143335,0.021155946,0.003334807,0.004387169,0.019252694,0.029143335,1.265
266,0.422941149,0.620475714,0.958518912,0.729200676,0.692185495,0.883682342,0.978220041,0,0.613725638,0.606072216,0.544750629,0.743533899,0.643187025,0.469961475,0.534420337,0.512743875,0.483947096,0.470010234,0.000117621,6.45E-05,0.000816162,0.0008584,0.028989354,0.005048284,0.001654511,0.005287153,0.003691418,0.028989354,1.265
267,0.794618508,0.557701264,0.982323738,0.917639552,0.90670445,0.549508516,0.682657458,0,0.785033739,0.644000262,0.492519164,0.564333636,0.501513423,0.556785961,0.633068494,0.518165714,0.312507134,0.494088113,0.000125013,3.45E-05,0.00062571,0.000909462,0.015957743,0.013712754,0.002082456,0.010462997,0.018945911,0.015957743,1.265
268,0.32274285,0.478909062,0.933757876,0.727827381,0.804962902,0.608712978,0.368906063,0,0.68184001,0.681658403,0.518488036,0.500539772,0.575559949,0.69337924,0.551939963,0.491254928,0.435478002,0.490482011,0.000180297,1.58E-05,0.001000498,0.001157966,0.014851476,0.018955413,0.002828047,0.007219994,0.020944914,0.014851476,1.265
269,0.387271319,0.544229596,0.957751711,0.723764083,0.81811101,0.552607418,0.952521275,0,0.685578414,0.725734173,0.419893555,0.659280531,0.420734038,0.489048185,0.677848472,0.580218298,0.318561167,0.455397037,0.000121237,3.20E-05,0.001105856,0.001467146,0.015356244,0.018066459,0.002333129,0.00707701,0.018952048,0.015356244,1.265
270,0.660058098,0.638041238,0.988870037,0.80638125,0.923610893,0.558648647,0.623859202,0,0.829099845,0.596513388,0.49768989,0.408063655,0.466423167,0.535103232,0.503296488,0.577844445,0.498063395,0.516315651,4.67E-05,2.61E-05,0.000202796,0.000991942,0.023790114,0.020607102,0.001229201,0.009755083,0.013916536,0.023790114,1.265
271,0.356506145,0.499349768,0.961208291,0.854123798,0.914829784,0.974280687,0.848344044,0,0.759551659,0.681908963,0.488560161,0.506896387,0.548095706,0.543927794,0.67724283,0.479092903,0.319022777,0.455891142,8.48E-05,9.92E-05,0.00126552,0.001259306,0.029076808,0.014529089,0.000839511,0.004889479,0.025962439,0.029076808,1.265
272,0.673955684,0.570134959,0.961767943,0.992161064,0.679540866,0.949030008,0.364325673,0,0.744607529,0.692107839,0.531303786,0.566762661,0.46356506,0.388829185,0.642277648,0.506297435,0.345118771,0.402163422,6.26E-05,1.35E-05,0.000336573,0.001287534,0.018038611,0.023497606,0.002344538,0.015422773,0.010425427,0.018038611,1.265
273,0.303310779,0.612639739,0.904814176,0.861757178,0.783968161,0.840241575,0.989971169,0,0.86712025,0.760673837,0.58655834,0.425218679,0.585570216,0.509422531,0.616086412,0.564532347,0.376163943,0.496845018,9.27E-05,3.61E-05,0.000634966,0.000931185,0.013456677,0.013159456,0.002675103,0.012126961,0.01596586,0.013456677,1.265
274,0.250283345,0.618505409,0.980845155,0.922079451,0.678889723,0.990703514,0.860310051,0,0.618339275,0.789598573,0.512644464,0.539282115,0.513922949,0.365808874,0.488234876,0.480932191,0.428606637,0.474141673,7.98E-05,2.40E-05,0.000575373,0.001186758,0.027031113,0.01807084,0.003134481,0.003995929,0.002776435,0.027031113,1.265
275,0.584046468,0.519037694,0.906108496,0.803474855,0.675032237,0.795269955,0.767666898,0,0.646311457,0.673461727,0.558532335,0.489853876,0.520928437,0.678742994,0.679457782,0.373528616,0.42749649,0.558443896,7.44E-05,1.95E-05,0.000538614,0.000678381,0.015856582,0.016763693,0.003043803,0.003299932,0.014900577,0.015856582,1.265
276,0.465025133,0.421552386,0.945557666,0.88436602,0.933511963,0.509791382,0.324429837,0,0.741697197,0.85882757,0.471847821,0.686780056,0.693674359,0.638952249,0.662607534,0.54008477,0.441940917,0.508965992,0.000103504,3.65E-05,0.00021071,0.000674201,0.01887071,0.015089342,0.004390979,0.010906936,0.009817907,0.01887071,1.265
277,0.238961391,0.505541362,0.915025649,0.793886004,0.691913204,0.72987077,0.319259193,0,0.483771065,0.728537585,0.463894586,0.571541696,0.518560917,0.385869938,0.604797619,0.43078722,0.426749408,0.57504518,7.72E-05,4.44E-05,0.000458443,0.000615321,0.018371548,0.008176582,0.001348633,0.021559652,0.016151036,0.018371548,1.265
278,0.413772799,0.522522069,0.910381773,0.992767324,0.626374583,0.913177299,0.459564279,0,0.970723352,0.597181081,0.533273376,0.58455071,0.627323617,0.334701411,0.673088635,0.50701782,0.387965135,0.373583076,0.000138695,3.77E-05,0.000924471,0.001318609,0.028118507,0.015159702,0.004785471,0.01494751,0.009378376,0.028118507,1.265
279,0.324624401,0.596731671,0.966528746,0.900948483,0.879995233,0.697247469,0.796115443,0,0.660177099,0.624417481,0.502108017,0.747292671,0.56515146,0.499368662,0.576381968,0.463470691,0.392197718,0.547325798,9.66E-05,1.37E-05,0.000584685,0.001268899,0.01164082,0.012227599,0.003272456,0.009806219,0.023243283,0.01164082,1.265
280,0.858658573,0.491003418,0.900563143,0.971241016,0.733820641,0.696241067,0.773591292,0,0.650521496,0.59480037,0.505653715,0.686625352,0.470665176,0.550259303,0.574562774,0.467506538,0.409528945,0.465042452,0.000174183,3.68E-05,0.000679226,0.001271468,0.027876791,0.016723187,0.003392603,0.005770575,0.015322449,0.027876791,1.265
281,0.31331936,0.654334808,0.966475919,0.955746136,0.850247926,0.86541531,0.709808075,0,0.778757247,0.65693907,0.511609525,0.652904305,0.572760345,0.517426544,0.522497317,0.411526141,0.484987383,0.536728992,0.000115349,2.95E-05,0.000123988,0.001311051,0.015830658,0.01813175,0.003361639,0.005688723,0.023554938,0.015830658,1.265
282,0.305852184,0.644984593,0.969597411,0.926337028,0.881471999,0.973734242,0.901860348,0,0.857058158,0.838929541,0.473449835,0.538099019,0.508194604,0.57189171,0.45270484,0.543291587,0.375813958,0.479546088,8.08E-05,4.98E-05,0.001169327,0.001140003,0.020999875,0.009823648,0.001552969,0.00591683,0.009764042,0.020999875,1.265
283,0.527017601,0.430347491,0.984505834,0.736167903,0.66083666,0.827128017,0.940755914,0,0.811309953,0.652239481,0.421044306,0.478573629,0.61165328,0.581129957,0.641377364,0.556745645,0.351505485,0.486021709,0.000228545,8.59E-05,0.000243482,0.001071255,0.013539668,0.014492452,0.00365711,0.024494911,0.011772903,0.013539668,1.265
284,0.338348679,0.581365974,0.931930687,0.781590761,0.807772162,0.731244837,0.813033969,0,0.691063278,0.597468852,0.482528235,0.565348746,0.688364888,0.546103692,0.493714276,0.487513852,0.417718783,0.421204199,3.89E-05,6.75E-05,0.000846691,0.00099805,0.017909954,0.020166536,0.001593477,0.013834356,0.02936615,0.017909954,1.265
285,0.47480043,0.814177257,0.938440423,0.975820759,0.983467695,0.946051493,0.619893036,0,0.694247939,0.713283077,0.563741569,0.700140036,0.51058073,0.491920445,0.552557493,0.534499283,0.41878458,0.490515426,0.000100773,5.29E-05,0.000165088,0.001127624,0.020209833,0.016662648,0.002580595,0.018306255,0.017378683,0.020209833,1.265
286,0.282185387,0.484760641,0.952769247,0.708459444,0.856704802,0.807890851,0.306097026,0,0.571378972,0.670834726,0.463454592,0.467254353,0.664316225,0.545702572,0.56267046,0.523631327,0.483747307,0.478477437,5.83E-05,2.23E-05,0.000922226,0.001118974,0.035939775,0.01314916,0.001230816,0.003028983,0.00585817,0.035939775,1.265
287,0.399751777,0.60149321,0.994406472,0.847591919,0.735959666,0.792912319,0.966233378,0,0.495390981,0.838810284,0.549767841,0.461255992,0.441416051,0.346158793,0.616353678,0.433736488,0.398809213,0.493985193,8.88E-05,1.84E-05,0.000741347,0.001346393,0.023442836,0.010189851,0.001128411,0.021839505,0.01191879,0.023442836,1.265
288,0.388814508,0.446522189,0.903067672,0.928470886,0.743389939,0.730830636,0.528401642,0,0.588451546,0.73729374,0.449558763,0.528107795,0.599440634,0.419009273,0.543143647,0.575454592,0.297021749,0.489931841,9.25E-05,3.53E-05,0.001120974,0.001199064,0.020914256,0.016076538,0.003884798,0.01536151,0.011650962,0.020914256,1.265
289,0.294740212,0.512690569,0.986651693,0.987034857,0.653643475,0.604897292,0.710287626,0,0.849177875,0.646238917,0.474567045,0.55383601,0.566574551,0.347875729,0.537193027,0.590642955,0.521216448,0.497025739,0.000174902,3.13E-05,0.000589409,0.001025304,0.032599113,0.00689912,0.001762262,0.011360757,0.026840349,0.032599113,1.265
290,0.432106671,0.429521048,0.996776039,0.930242607,0.75140306,0.947721447,0.964196632,0,0.67265125,0.645463709,0.514136733,0.473337169,0.542142314,0.685915454,0.585200153,0.534021317,0.394876366,0.494308236,2.94E-05,2.91E-05,0.000620762,0.001303767,0.013530738,0.020742341,0.001981523,0.00778116,0.013283439,0.013530738,1.265
291,0.414425684,0.524475601,0.995040408,0.909398124,0.987708891,0.900915294,0.352759751,0,0.851003763,0.672786028,0.503775691,0.632412191,0.519417044,0.494050306,0.566931539,0.491363531,0.435388398,0.572739996,0.000108869,2.03E-05,0.000187207,0.000919256,0.016675435,0.015946949,0.003687997,0.00736293,0.01329781,0.016675435,1.265
292,0.276377335,0.471576332,0.952671411,0.789924526,0.802493048,0.990016358,0.38739186,0,0.692986579,0.65227815,0.448340838,0.713604195,0.480154865,0.324632581,0.487493063,0.543130604,0.375262957,0.493943968,0.000164669,7.10E-05,0.000432005,0.000693162,0.014136378,0.014314484,0.004260573,0.017315036,0.019232819,0.014136378,1.265
293,0.697812596,0.506473752,0.913457071,0.742824142,0.79207882,0.721925031,0.863963255,0,0.835223416,0.595882584,0.480507835,0.52531401,0.67987884,0.365315019,0.492135997,0.43082526,0.401871413,0.4672866,0.000230369,6.76E-05,0.000279776,0.000551037,0.018395273,0.013577713,0.002830993,0.024647512,0.019035649,0.018395273,1.265
294,0.375322615,0.574791638,0.937712586,0.824333434,0.639898666,0.734290306,0.622287435,0,0.696481205,0.73916577,0.501910036,0.423772405,0.507258764,0.511023842,0.664306681,0.499285749,0.343584169,0.507089403,8.05E-05,3.15E-05,0.000667681,0.001167211,0.007788867,0.013703494,0.001337808,0.023066126,0.010378068,0.007788867,1.265
295,0.327365067,0.488792318,0.977153496,0.995762803,0.693548976,0.775142153,0.554053844,0,0.665810798,0.7137997,0.478504899,0.52396235,0.642729782,0.63454025,0.496091062,0.564516929,0.402783617,0.431665228,0.000140282,2.54E-05,0.000776429,0.000839124,0.022144637,0.015931729,0.001710519,0.011320393,0.017963799,0.022144637,1.265
296,0.406968009,0.585617263,0.918560727,0.728986583,0.653290399,0.583606191,0.540011285,0,0.659046243,0.692494983,0.477714885,0.500427173,0.685780014,0.41276306,0.626948194,0.599848753,0.42623593,0.537871447,0.000120696,1.72E-05,0.001049148,0.00147636,0.015091747,0.008878172,0.002009947,0.014188245,0.00635875,0.015091747,1.265
297,0.52289397,0.58234265,0.917639785,0.80724432,0.910463615,0.961099932,0.691856781,0,0.666023478,0.588281907,0.455166013,0.454000192,0.652286722,0.595610254,0.590945222,0.546937841,0.519279624,0.588409534,4.49E-05,4.38E-05,0.000151786,0.000988009,0.022836935,0.00842099,0.001099382,0.026904681,0.012501057,0.022836935,1.265
298,0.344227625,0.462976052,0.94516119,0.711399418,0.942381366,0.705140247,0.919947079,0,0.788071654,0.721392297,0.494046655,0.599053884,0.458903376,0.518558184,0.640286425,0.477056879,0.355211083,0.426044804,0.000106212,4.73E-05,0.000175063,0.001044075,0.025899001,0.015721221,0.004010335,0.005805091,0.013604502,0.025899001,1.265
299,0.37579818,0.632862114,0.921704695,0.888508093,0.707067526,0.857438025,0.710591916,0,0.571704483,0.70261966,0.403398092,0.538058817,0.68387075,0.413745814,0.47811433,0.478467285,0.436230935,0.487042382,5.12E-05,4.70E-05,0.000459557,0.001275009,0.015893235,0.015115883,0.000723507,0.011284521,0.020261911,0.015893235,1.265
300,0.476045481,0.625364578,0.979240802,0.833596492,0.743555932,0.517314621,0.571113311,0,0.647476918,0.707450905,0.475846157,0.427771671,0.51412475,0.689282433,0.507863512,0.458819003,0.489400014,0.489083674,0.000121325,4.43E-05,0.000539306,0.001056132,0.012735059,0.01421671,0.002436546,0.008214786,0.009434037,0.012735059,1.265
301,0.440230195,0.484535031,0.966940478,0.785373033,0.627396513,0.626032155,0.812283127,0,0.694906306,0.74289582,0.461974351,0.543927737,0.486144496,0.338630744,0.521750662,0.553185693,0.51457859,0.568367346,0.000187197,1.95E-05,0.000919255,0.001482951,0.012199713,0.014509803,0.003740233,0.026171619,0.020687535,0.012199713,1.265
302,0.310509897,0.480669915,0.986394441,0.938290483,0.890691559,0.840164403,0.988694303,0,0.729166564,0.700849821,0.436374434,0.60865276,0.692355616,0.51682157,0.499935197,0.48497111,0.365357065,0.457644966,8.17E-05,3.64E-05,0.00039534,0.001257253,0.004380997,0.016755738,0.001756476,0.007313798,0.00940043,0.004380997,1.265
303,0.586545484,0.605678367,0.9125636,0.711464227,0.766492338,0.746357843,0.458994513,0,0.781490604,0.698188414,0.452053692,0.498049974,0.635548,0.667866977,0.651631603,0.531211734,0.442994889,0.465684463,3.72E-05,3.90E-05,0.000191421,0.00116433,0.007287971,0.01055265,0.000936346,0.013327659,0.009316588,0.007287971,1.265
304,0.599427201,0.649914809,0.995539018,0.884604732,0.725175478,0.619737519,0.911807897,0,0.759111346,0.750329746,0.521261501,0.507615835,0.588966071,0.533212734,0.510333114,0.420091248,0.297731262,0.544443169,0.000108456,3.70E-05,0.000541958,0.000503666,0.02875289,0.016785719,0.003495956,0.004194497,0.005691709,0.02875289,1.265
305,0.492764089,0.535593556,0.997259112,0.916126276,0.927166269,0.895206465,0.432200587,0,0.899442549,0.663111736,0.529216287,0.440295748,0.513982897,0.623930921,0.486831987,0.52824424,0.398912549,0.526336152,8.68E-05,1.61E-05,0.000620998,0.001137617,0.016911458,0.00733032,0.003194635,0.004167689,0.01978782,0.016911458,1.265
306,0.274287442,0.756091733,0.991001605,0.776825324,0.703073131,0.947535637,0.871747491,0,0.611685559,0.798572954,0.525950687,0.625337691,0.543580944,0.472029537,0.67954222,0.540716723,0.444603787,0.534431642,4.84E-05,2.86E-05,0.001236395,0.001101464,0.009075135,0.016519875,0.002104648,0.009458604,0.023541006,0.009075135,1.265
307,0.247101619,0.457823603,0.957005262,0.778493283,0.844436681,0.971762048,0.94934921,0,0.658380902,0.755954071,0.543363215,0.433775388,0.640359833,0.306596011,0.587060657,0.436491257,0.509871793,0.456176375,0.000151126,3.78E-05,0.00074722,0.000818464,0.017186174,0.012374962,0.002929413,0.014686424,0.018103829,0.017186174,1.265
308,0.302123719,0.480407118,0.937334047,0.859042833,0.875041156,0.768516691,0.708531085,0,0.664949781,0.678708767,0.477587337,0.650406131,0.592725487,0.5382885,0.528598033,0.550584194,0.479497606,0.476582336,0.000167386,5.95E-05,0.000654355,0.00150786,0.024054284,0.004525433,0.003902673,0.004629118,0.02366004,0.024054284,1.265
309,0.355662986,0.537716294,0.908619528,0.85759064,0.860141247,0.675151035,0.573243185,0,0.703346472,0.763295402,0.491515802,0.549943798,0.541920641,0.55372581,0.588732957,0.564036614,0.411959753,0.511902671,4.44E-05,6.89E-05,0.000538558,0.000937735,0.024308896,0.015927733,0.001193886,0.002664706,0.011466022,0.024308896,1.265
310,0.527402488,0.474348543,0.972397965,0.716527992,0.828845522,0.977152136,0.789893279,0,0.693527615,0.742564239,0.507290646,0.474577389,0.679769445,0.384941924,0.588327377,0.497021715,0.399329773,0.526511143,6.73E-05,4.37E-05,0.001082532,0.000902534,0.027239246,0.016592926,0.002787851,0.008379172,0.011682627,0.027239246,1.265
311,0.33468258,0.661892166,0.938473254,0.820021952,0.961120971,0.636741134,0.549507915,0,0.617727486,0.671806976,0.470674747,0.523101062,0.569187705,0.616191015,0.597244356,0.6408092,0.313285427,0.458109374,8.81E-05,2.91E-05,0.000631914,0.001359217,0.013303615,0.018293049,0.002817209,0.021590819,0.026754051,0.013303615,1.265
312,0.622133808,0.656230311,0.916674254,0.983616966,0.904910434,0.511695117,0.90985597,0,0.887798434,0.622140889,0.544712351,0.405236401,0.636175928,0.325454824,0.568775449,0.533451737,0.400912304,0.53705781,6.14E-05,4.92E-05,0.001125287,0.000763481,0.012697893,0.021903874,0.004536891,0.005689475,0.024320698,0.012697893,1.265
313,0.582594628,0.53020229,0.923280609,0.931060682,0.718108028,0.788684358,0.485609856,0,0.595157689,0.65071546,0.486934881,0.562659276,0.622835038,0.692615471,0.616991371,0.543015454,0.478582317,0.438982231,3.63E-05,5.56E-05,0.000673858,0.001239548,0.011911874,0.014145067,0.001693915,0.019231257,0.018711346,0.011911874,1.265
314,0.268073197,0.466106463,0.957883312,0.73835727,0.622733424,0.961300926,0.618102956,0,0.800327151,0.771447597,0.534315779,0.529353262,0.682147828,0.396344291,0.479506644,0.446599591,0.374408002,0.560194603,0.000175194,3.15E-05,0.000515819,0.001137887,0.01778428,0.005158025,0.00122803,0.018288836,0.018001371,0.01778428,1.265
